"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Jester","http://www.rcdb.com/./2217.htm","Six Flags New Orleans","http://www.rcdb.com/./4747.htm","2003","Sit Down","79","1936","3","40","0","30.052511","-89.935523","USA"
"Jimmy Neutron's Atomic Flyer","http://www.rcdb.com/./3675.htm","Movie Park Germany","http://www.rcdb.com/./4869.htm","2007","Inverted","42","964","0","0","48","51.622113","6.974398","Germany"
"Joker's Revenge","http://www.rcdb.com/./206.htm","Six Flags Fiesta Texas","http://www.rcdb.com/./4538.htm","1996","Sit Down","79","1936","3","40","0","29.597554","-98.610835","USA"
"Jubilee Odyssey","http://www.rcdb.com/./1413.htm","Fantasy Island","http://www.rcdb.com/./4812.htm","2002","Inverted","167","2924","5","63","172","53.192124","0.348547","UK"
"Jungle Racing","http://www.rcdb.com/./2982.htm","Happy Valley","http://www.rcdb.com/./5689.htm","2006","Sit Down","45","2575","0","30.1","140","39.866418","116.488627","China"
"Junior Coaster","http://www.rcdb.com/./1356.htm","Geroland","http://www.rcdb.com/./5025.htm","1997","Sit Down","42","1099","0","28.5","66","30.173949","31.477354","Egypt"
"Junior Roller Coaster","http://www.rcdb.com/./3016.htm","Tokushima Familyland","http://www.rcdb.com/./5707.htm","1998","Sit Down","27","679","0","21.7","0","34.013134","134.518812","Japan"
"Kamikaze","http://www.rcdb.com/./669.htm","Dinosaur Beach","http://www.rcdb.com/./4669.htm","1989","Sit Down","122","2742","5","52","80","38.989038","-74.804066","USA"
"Kiddee Koaster","http://www.rcdb.com/./207.htm","Six Flags Fiesta Texas","http://www.rcdb.com/./4538.htm","1992","Sit Down","0","278","0","0","0","29.597554","-98.610835","USA"
"Kong","http://www.rcdb.com/./163.htm","Six Flags Discovery Kingdom","http://www.rcdb.com/./4711.htm","1998","Inverted","109","2260","5","49.7","96","38.138523","-122.234273","USA"
"Korkkiruuvi","http://www.rcdb.com/./1077.htm","Särkänniemi Amusement Park","http://www.rcdb.com/./4919.htm","1987","Sit Down","64","1148","2","37.3","0","61.505358","23.743526","Finland"
"Krachen","http://www.rcdb.com/./1718.htm","Al-Shallal Theme Park","http://www.rcdb.com/./5210.htm","2004","Sit Down","116","935","3","47","108","0","0","Saudi Arabia"
"Kumali","http://www.rcdb.com/./2985.htm","Flamingo Land Theme Park & Zoo","http://www.rcdb.com/./4804.htm","2006","Inverted","117","2202","4","54.9","92","54.210500","-0.808800","UK"
